0,1,2,3,4,5,6,7,8,9
0.0,576.9631,946.4954,597.5972,373.8127,559.7673,709.0215,1208.328,603.6477,695.208
576.9631,0.0,369.5327,613.0386,429.1079,312.8831,1196.489,1502.14,405.8975,1241.961
946.4954,369.5327,0.0,858.3308,749.6018,556.0706,1541.273,1764.791,621.3306,1603.165
597.5972,613.0386,858.3308,0.0,255.0303,311.3071,790.1213,907.4331,237.0703,932.2173
373.8127,429.1079,749.6018,255.0303,0.0,225.8954,794.1726,1080.374,238.944,879.5647
559.7673,312.8831,556.0706,311.3071,225.8954,0.0,1009.689,1216.868,94.2588,1104.574
709.0215,1196.489,1541.273,790.1213,794.1726,1009.689,0.0,663.8762,982.7378,221.422
1208.328,1502.14,1764.791,907.4331,1080.374,1216.868,663.8762,0.0,1143.791,874.5181
603.6477,405.8975,621.3306,237.0703,238.944,94.2588,982.7378,1143.791,0.0,1094.906
695.208,1241.961,1603.165,932.2173,879.5647,1104.574,221.422,874.5181,1094.906,0.0
